Diretoria,Gerência,Coordenação,Canal de atendimento,Tipo,Descrição dos serviços executados
VPA,GEPES,GEPES,Intranet/Portal de Serviços,Formulário,Capacitação - Solicitação de Participação em Eventos Externos
VPA,GEPES,GEPES,Intranet/Portal de Serviços,Formulário,Solicitação de Adesão ao Trabalho Híbrido
VPA,GEPES,COPAC,48 9935-8935 ou atestados@ciasc.sc.gov.br,whatsapp ou e-mail,Benefícios - Atestados
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,Benefícios - Vale Alimentação e Transporte
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,Benefícios - Licença Prêmio e Assiduidade
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,Benefícios - Licença Maternidade/Paternidade
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,Benefícios - Auxílio Creche
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Atualização do Cadastro
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Ponto
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Férias
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Movimentação do Empregado
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Empréstimo Consignado  
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Contrato de Trabalho 
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Documentos Digitalizados (PQIL) 
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Publicação de Portarias Funcionais
VPA,GEPES,GEPES,copac@ciasc.sc.gov.br,Jira, Cadastro de Empregados - Pedido de Demissão.
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,"Folha de Pagamento e Encargos - Horas Extras, Sobreavisos e Adicional Noturno"
VPA,GEPES,COPAC,copac@ciasc.sc.gov.br,Jira,Folha de Pagamento e Encargos - Descontos e Ressarcimentos 
VPA,GEPES,GEPES,48 9134-1380 ou ambulatório@ciasc.sc.gov.br,whatsapp ou e-mail,"Saude Ocupacional - Serviços Ambulatoriais e Médicos (Atendimento médicos, procedimentos e medicações, exames periódicos e testes ergonômicos)"
VPA,GEPES,GEPES,copac@ciasc.sc.gov.br,Jira,"Progrrama de Estágio (Abertura de vaga, contratação, integração, acompanhamento das atividades e rescisão de contrato)"
VPA,GEPES,GEPES,48 9204-8792 / 48 9204-8777 ou servicosocial@ciasc.sc.gov.br,whatsapp ou e-mail,Serviço Social - Acompanhar Empregados Afastados (INSS 16º dia e CAT - Comunicado de Acidente de Trabalho)
VPA,GEPES,GEPES,48 9204-8792/ 48 9204-8777 ou servicosocial@ciasc.sc.gov.br,whatsapp ou e-mail,Serviço Social - Orientação para solicitação e acompanhamento ao Trabalho Híbrido 100%
VPA,GEPES,GEPES,48 9204-8792/ 48 9204-8777 ou servicosocial@ciasc.sc.gov.br,whatsapp ou e-mail,"Serviço Social - Programa Menor Aprendiz (Seleção através de entrevista, Encaminhamento para a área solicitante e acompanhamento)"
VPA,GEPES,GEPES,48 9204-8792/ 48 9204-8777 ou servicosocial@ciasc.sc.gov.br,whatsapp ou e-mail,Serviço Social - Prestação de Serviço Social aos Empregados
VPA,GERAD,CORAD,corad@ciasc.sc.gov.br,e-mail,"Serviços de recepção, de protocolo, de acesso e segurança patrimonial, de transporte, de gestão dos serviços de manutenção, reformas e conservação de infraestrutura interna, do patrimônio físico, serviços gerais e gestão de patrimônio."
VPA,GELIC,COLIC,colic@ciasc.sc.gov.br,e-mail,"Execução de Processos de licitações e compras diretas do CIASC, desde cotação de preços até formalização de contratos.  Atividades do almoxarifado."
VPT,GEGOV,COIND,boavista@ciasc.sc.gov.br,Jira,Atendimento de demandas referentes ao Boavista.
VPT,GEGOV,COSEC,suporte-ccorp@ciasc.sc.gov.br ,Jira,"Atendimento referente a devops e ferramentas corporativas (Arquitetura do Boa Vista, OKD, Kafka, Solr, ELK, S3, Git, Nexus)"
VPT,GEGOV,CSGOV,solicitacoes-scdigital@ciasc.sc.gov.br,Jira,Solicitações dos produtos Carta de Serviços e  Plataforma SC Digital
VPT,GEGOV,CSGOV,websites@ciasc.sc.gov.br,Jira,Suporte e desenvolvimento de WebSites
VPT,GEGOV,CSGOV,solicitacoes-paineis@ciasc.sc.gov.br,Jira,Suporte e desenvolvimento de painéis Power BI
VPT,GETII,COBAN,suportesqlserver@ciasc.sc.gov.br,Jira,Solicitações de suporte a bancos de dados SQL Server
VPT,GETII,COBAN,suportedbaoracle@ciasc.gov.br ,Jira,Solicitações de suporte a bancos de dados Oracle
VPT,GETII,COBAN,suporte-opendb@ciasc.sc.gov.br ,Jira,Solicitações de suporte a bancos de dados PostgreSQL e MySQL
VPT,GETII,COBAN,useridms@ciasc.sc.gov.br ,Jira,Solicitações de suporte a bancos de dados IDMS
